ID	nbrefhom	nbalthom	nbhet	nbmissing
hg02461	990	139	220	3
hg02461	1170	131	45	6
hg02461	1074	118	158	2
hg02461	988	69	293	2
hg02461	950	175	218	9
hg02461	970	78	304	0
hg02461	977	144	231	0
hg02461	998	81	273	0
hg02461	937	120	293	2
hg02461	958	156	235	3
hg02461	931	83	337	1
hg02461	986	159	204	3
hg02461	998	74	279	1
hg02461	933	94	323	2
hg02461	1041	41	270	0
hg02461	980	141	231	0
hg02461	1067	45	238	2
hg02461	979	111	260	2
hg02461	979	108	264	1
hg02461	1040	57	255	0
hg02461	964	152	236	0
hg02461	911	143	297	1
hg02461	941	194	216	1
hg02461	932	164	251	5
hg02461	1014	176	160	2
hg02461	956	103	290	3
hg02461	976	131	244	1
hg02461	929	150	272	1
hg02461	999	174	176	3
hg02461	971	153	227	1
hg02461	986	165	199	2
hg02461	949	187	214	2
hg02461	946	71	335	0
hg02461	986	184	172	10
hg02461	893	115	344	0
hg02461	1219	126	3	4
hg02461	994	63	294	1
hg02461	905	152	292	3
hg02461	952	90	308	2
hg02461	968	86	297	1
hg02461	944	140	268	0
hg02461	1087	77	186	2
hg02461	1038	64	249	1
hg02461	1073	72	205	2
hg02461	962	145	243	2
hg02461	960	84	302	6
hg02461	963	143	245	1
hg02461	1005	56	291	0
hg02461	937	128	286	1
hg02461	951	159	236	6
hg02461	962	49	340	1
hg02461	954	138	258	2
hg02461	969	166	216	1
hg02461	949	134	269	0
hg02461	925	151	274	2
hg02461	925	159	268	0
hg02461	971	104	277	0
hg02461	1071	58	222	1
hg02461	980	141	229	2
hg02461	918	168	265	1
hg02461	962	201	189	0
hg02461	957	113	274	8
hg02461	1055	83	214	0
hg02461	959	122	270	1
hg02461	950	179	222	1
hg02461	1030	224	95	3
hg02461	1075	74	203	0
hg02461	1015	41	295	1
hg02461	959	180	212	1
hg02461	1087	41	224	0
hg02461	950	100	302	0
hg02461	902	197	248	5
hg02461	899	176	276	1
hg02461	982	103	267	0
